ID,lon_data,lat_data,temp_data,pressure_data,humidity_data,cloud_data,visibility_data,wind_speed_data,date
1,50.0245,26.5208,307.26,1003,14,0,10000,4.54,"2022/05/31
"
2,50.0245,26.5208,304.26,1006,16,0,10000,3.07,"2022/06/01
"
3,50.0245,26.5208,300.26,1006,28,0,10000,4.51,"2022/06/02
"
4,50.0245,26.5208,303.26,1006,22,0,10000,3.91,"2022/06/03
"
5,50.0245,26.5208,302.26,1008,29,0,10000,4.56,"2022/06/04
"
6,50.0245,26.5208,302.62,1009,30,0,0,4.73,"2022/06/05
"
7,50.0245,26.5208,301.87,1007,33,0,0,5,"2022/06/06
"
8,50.0245,26.5208,302.6,1000,52,0,0,1.45,"2022/06/07
"
9,50.0245,26.5208,304.45,1002,23,0,0,5.61,"2022/06/08
"
10,50.0245,26.5208,304.51,1006,32,0,0,6.33,"2022/06/09
"
11,50.0245,26.5208,305.27,1005,36,0,0,5.38,"2022/06/10
"
12,50.0245,26.5208,303.65,1007,45,0,0,4.94,"2022/06/11
"
13,50.0245,26.5208,302.27,1007,49,0,0,5.24,"2022/06/12
"
14,50.0245,26.5208,303.3,1006,41,0,0,6.54,"2022/06/13
"
15,50.0245,26.5208,303.17,1006,47,0,0,1.26,"2022/06/14
"
16,50.0245,26.5208,299.67,1009,64,0,0,1.15,"2022/06/15
"
17,50.0245,26.5208,303.3,1005,30,0,0,9.03,"2022/06/16
"
18,50.0245,26.5208,302.89,1008,36,0,0,9.48,"2022/06/17
"
19,50.0245,26.5208,301.56,1009,44,0,0,3.57,"2022/06/18
"
20,50.0245,26.5208,301.04,1009,55,0,0,5.03,"2022/06/19
"
21,50.0245,26.5208,300.46,1009,46,0,0,3.14,"2022/06/20
"
22,50.0245,26.5208,300.05,1010,46,0,0,4.16,"2022/06/21
"
23,50.0245,26.5208,299.41,1011,54,0,0,6.38,"2022/06/22
"
24,50.0245,26.5208,299.82,1007,76,65,0,5.83,"2022/06/23
"
25,50.0245,26.5208,304.22,1004,48,60,0,4.95,"2022/06/24
"
26,50.0245,26.5208,304.79,1003,51,42,0,6.68,"2022/06/25
"
27,50.0245,26.5208,302.94,1007,53,0,0,4.19,"2022/06/26
"
28,50.0245,26.5208,301.08,1009,49,0,0,3.96,"2022/06/27
"
29,50.0245,26.5208,300.28,1008,56,0,0,2.48,"2022/06/28
"
30,50.0245,26.5208,300.15,1005,72,0,0,1.73,"2022/06/29
"
